00:00:25.863 | Info | '/transaction/getCustomersDetails' | 
00:00:27.870 | Info | '/transaction/getCustomersDetails' | 
00:00:28.852 | Info | '/transaction/getCustomersDetails' | 
00:00:30.863 | Info | '/transaction/getCustomersDetails' | 
00:00:33.518 | Info | '/transaction/getCustomersDetails' | 
00:00:41.871 | Info | '/transaction/getCustomersDetails' | 
00:00:44.864 | Info | '/transaction/getCustomersDetails' | 
00:00:47.863 | Info | '/transaction/getCustomersDetails' | 
00:00:49.860 | Info | '/transaction/getCustomersDetails' | 
00:00:52.853 | Info | '/transaction/getCustomersDetails' | 
00:00:54.855 | Info | '/transaction/getCustomersDetails' | 
00:00:56.865 | Info | '/transaction/getCustomersDetails' | 
00:00:59.862 | Info | '/transaction/getCustomersDetails' | 
00:01:03.853 | Info | '/transaction/getCustomersDetails' | 
00:01:06.852 | Info | '/transaction/getCustomersDetails' | 
00:01:08.856 | Info | '/transaction/getCustomersDetails' | 
00:01:11.616 | Info | '/transaction/getCustomersDetails' | 
00:01:17.453 | Info | '/transaction/getCustomersDetails' | 
00:01:37.508 | Info | '/transaction/getCustomersDetails' | 
00:02:12.925 | Info | '/transaction/getCustomersDetails' | 
00:02:15.790 | Info | '/transaction/getCustomersDetails' | 
00:02:23.862 | Info | '/transaction/getCustomersDetails' | 
00:02:57.868 | Info | '/transaction/getCustomersDetails' | 
00:02:59.349 | Info | '/transaction/getCustomersDetails' | 
00:03:05.449 | Info | '/transaction/getCustomersDetails' | 
00:03:37.925 | Info | '/transaction/getCustomersDetails' | 
00:03:49.556 | Info | '/transaction/getCustomersDetails' | 
00:04:14.972 | Info | '/transaction/getCustomersDetails' | 
00:05:18.432 | Info | '/transaction/getCustomerType' | 
00:05:40.177 | Info | '/transaction/getCustomerType' | 
00:06:08.657 | Info | '/api/user/login' | 
00:06:10.863 | Info | '/transaction/getCustomerType' | 
00:06:12.721 | Info | '/transaction/getCustomersDetails' | 
00:06:55.805 | Info | '/transaction/getCustomersDetails' | 
00:06:58.479 | Info | '/transaction/getCustomerType' | 
00:07:00.341 | Info | '/transaction/getCustomersDetails' | 
00:08:05.968 | Info | '/transaction/getCustomersDetails' | 
00:08:05.971 | Info | '/transaction/getCustomersDetails' | 
00:08:12.146 | Info | '/transaction/getCustomersDetails' | 
00:08:31.888 | Info | '/transaction/getCustomersDetails' | 
00:08:31.909 | Info | '/transaction/getCustomersDetails' | 
00:08:50.855 | Info | '/transaction/getCustomerType' | 
00:08:50.859 | Info | '/transaction/getCustomerType' | 
00:08:55.907 | Info | '/transaction/getCustomerType' | 
00:08:55.980 | Info | '/transaction/getCustomerType' | 
00:08:56.543 | Info | '/transaction/getCustomerType' | 
00:09:01.930 | Info | '/transaction/getCustomerType' | 
00:09:09.024 | Info | '/transaction/getCustomerType' | 
00:09:11.168 | Info | '/transaction/getCustomerType' | 
00:09:21.297 | Info | '/transaction/getCustomerType' | 
00:09:22.772 | Info | '/transaction/getCustomerType' | 
00:09:25.145 | Info | '/transaction/getCustomerType' | 
00:09:37.870 | Info | '/transaction/getCustomersDetails' | 
00:09:40.863 | Info | '/transaction/getCustomersDetails' | 
00:09:53.272 | Info | '/transaction/getCustomersDetails' | 
00:10:05.019 | Info | '/transaction/getCustomersDetails' | 
00:10:15.729 | Info | '/api/user/login' | 
00:10:17.561 | Info | '/transaction/getCustomerType' | 
00:10:19.552 | Info | '/transaction/getCustomersDetails' | 
00:10:42.786 | Info | '/api/user/login' | 
00:10:45.383 | Info | '/transaction/getCustomerType' | 
00:10:47.963 | Info | '/transaction/getCustomersDetails' | 
00:10:58.436 | Info | '/transaction/getCustomerType' | 
00:11:00.146 | Info | '/transaction/getCustomerType' | 
00:11:02.383 | Info | '/transaction/getCustomersDetails' | 
00:11:43.097 | Info | '/transaction/getCustomerType' | 
00:11:46.695 | Info | '/transaction/getCustomerType' | 
00:11:49.814 | Info | '/transaction/getCustomersDetails' | 
00:12:06.544 | Info | '/transaction/getCustomersDetails' | 
00:12:08.484 | Info | '/transaction/getCustomerType' | 
00:12:09.797 | Info | '/transaction/getCustomerType' | 
00:12:11.950 | Info | '/transaction/getCustomersDetails' | 
00:12:38.400 | Info | '/api/user/login' | 
00:12:40.869 | Info | '/transaction/getCustomerType' | 
00:12:42.735 | Info | '/transaction/getCustomersDetails' | 
00:13:21.746 | Info | '/transaction/getCustomersDetails' | 
00:13:23.708 | Info | '/transaction/getCustomerType' | 
00:13:27.264 | Info | '/transaction/getCustomersDetails' | 
00:13:41.320 | Info | '/transaction/getCustomerType' | 
00:13:41.756 | Info | '/transaction/getCustomersDetails' | 
00:13:51.415 | Info | '/transaction/getCustomerType' | 
00:13:53.482 | Info | '/transaction/getCustomersDetails' | 
00:13:59.259 | Info | '/transaction/getCustomersDetails' | 
00:14:10.433 | Info | '/transaction/getCustomersDetails' | 
00:15:31.006 | Info | '/api/user/login' | 
00:15:32.977 | Info | '/transaction/getCustomerType' | 
00:15:35.241 | Info | '/transaction/getCustomersDetails' | 
00:16:10.941 | Info | '/transaction/getCustomerType' | 
00:16:12.812 | Info | '/transaction/getCustomerType' | 
00:16:14.287 | Info | '/transaction/getCustomerType' | 
00:16:17.375 | Info | '/transaction/getCustomerType' | 
00:16:41.948 | Info | '/transaction/getCustomersDetails' | 
00:16:47.499 | Info | '/transaction/getCustomersDetails' | 
00:16:50.331 | Info | '/transaction/getCustomerType' | 
00:16:51.737 | Info | '/transaction/getCustomerType' | 
00:16:53.534 | Info | '/transaction/getCustomersDetails' | 
00:17:13.812 | Info | '/transaction/getCustomerType' | 
00:17:15.164 | Info | '/transaction/getCustomerType' | 
